Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Continue to improve the planning and operation components of aquaculture facilities to mitigate potential threats to iBoF Salmon.,1,,,Medium,Underway / Continuous,0,0,1,Farmed / wild Salmon interactions,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Determine the best LGB strategy for recovery in Nova Scotia iBoF rivers by:
 a. Conducting a one-time synoptic electrofishing survey on the Stewiacke River.
 b. Collecting smolts on the Gaspereau River
 c. Analyzing the data collected in a. and b.",,1,,"
 Medium
 ",Underway (completion in 2016),0,0,1,Conservation of the genetic characteristics of iBoF Salmon; loss of fitness,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Develop annual mating plans for the three principal LGB populations managed by DFO: Big Salmon, Gaspereau, and Stewiacke rivers.",,1,,High,Underway / Annually,0,0,1,Risk of inbreeding; loss of genetic diversity,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Encourage compliance and voluntary stewardship actions.,1,,,Low,"Underway /
 Continuous /
 Some new tools to be developed",0,0,1,Lack of public awareness and compliance,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Encourage the involvement of new and existing partners in recovery efforts.,1,,,Low,"Underway /
 Continuous",0,0,1,Lack of public awareness and involvement,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Examine the role of the Petitcodiac River in the recovery of iBoF Salmon
 a. Evaluate freshwater and marine survival rates of the various cross-bred groups
 
 ii. Analyse tissue samples collected in 8a(i) (see table 2)
 b. Examine the feasibility of iBoF Salmon recovery options for the Petitcodiac River
 
 i. Determine the most appropriate recovery option for the Petitcodiac River",,1,,Medium ,"a. Not Started / within 2-5 years
 b. Not Started / within 2-5 years",0,0,1,Conservation of the genetic characteristics of iBoF Salmon; loss of fitness; extirpation of iBoF Salmon from the Petitcodiac River,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Examine the role of the Petitcodiac River in the recovery of iBoF Salmon
 a. Evaluate marine and freshwater survival rates of the various cross-bred groups in the cross-breeding experiment
 i. Monitor and collect tissue samples from emigrating smolts and adult returns.
 
 b. Examine the feasibility of iBoF Salmon Recovery options for the Petitcodiac River, and develop and implement a recovery plan as appropriate
 ii. Develop and implement a recovery plan for the Petitcodiac River as appropriate.",,,1," High
 ","a. Underway / Continue through to 2016
 b. New / pending outcome of 8b(i)",0,0,1,Extirpation of iBoF Salmon from the Petitcodiac River; loss of genetic diversity,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Identify areas of marine and estuarine critical habitat for iBoF Salmon in an amended Recovery Strategy
 a. Develop estuarine and marine critical habitat description for inclusion in an amended Recovery Strategy
 b. Develop Schedule of Studies to outline any research activities that need to be undertaken.",,1,,Medium,"a. Underway / 2015/16
 b. Not started / 5 years",0,0,1,Lack of knowledge of estuarine and marine habitat characteristics; destruction of habitat,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Improve / restore connectivity to iBoF Salmon freshwater habitat
 a. Map and prioritize sites for remediation
 b. Explore opportunities to plan and implement barrier remediation at priority sites",,,1,High,Underway / ongoing until completed,0,0,1,Freshwater barriers to fish passage,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Improve / restore connectivity to iBoF Salmon freshwater habitat
 c. Maintain connectivity at new watercourse crossings.",1,,,High,Underway / ongoing until completed,0,0,1,Freshwater barriers to fish passage,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Improve freshwater habitat quality
 b. Implement projects and initiatives to restore habitat quality in identified priority sites in iBoF watersheds.",1,,,Low,Underway / Continuous (Annually,0,0,1,Degradation and decreased carrying capacity of freshwater habitat,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Improve monitoring and management of sea lice
 a. Continue to use and improve fish farm sea lice mitigation, monitoring and management measures",,,1,High,Underway / long-term,0,0,1,Presence of sea-lice at aquaculture farms,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Investigate the effects of disease and parasite load on survival and recovery of iBoF Salmon by:
 a. Assess the feasibility of non-lethally testing smolts exiting rivers and adults returning to rivers for indicators of existing health issues / exposure to disease.
 b. Conduct a focused study to determine whether disease is an obstacle to iBoF Salmon recovery.",,1,, High,New / 4 years starting in 2015,0,0,1,Endemic diseases in iBoF rivers; disease outbreaks on aquaculture farms; transmission of disease via parasites,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Maintain new LGB approach for Fundy National Park rivers, PWR and USR.
 a. Spawn PWR high ancestry Salmon and release juvenile progeny back into Fundy National Park rivers.
 b. Collect sufficient numbers of wild-exposed high ancestry stock from Fundy National Park rivers for future broodstock with a target of 100 annual matings.
 c. Release surplus high ancestry fish at various life stages including adults to produce future",1,,,"
 Medium",Underway / Continuous,0,0,1,Loss of fitness; extinction/extirpation of iBoF Salmon populations,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Optimize LGB mating strategies to improve the marine survival component of fitness.
 a. Capture the genetics of fish that survived at sea or were progeny of those that returned from sea;
 b. Incorporate those individuals (their representative genetics) into the mating plan; and,
 c. Collect and spawn offspring of known multiple-recruit spawners.",,,1,High,New / Developmental with research trials likely over the next 3 years,0,0,1,Minimize loss of fitness; maintain wild adaptations,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Prevent and mitigate impacts of escaped farmed Salmon
 a. Periodically review and improve escapee management regimes for marine finfish farms",1,,,Medium,"Underway / 1 year for current review, periodically thereafter",0,0,1,Aquaculture escaped Salmon interbreeding with wild iBoF Salmon,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Promote and host Recovery Team meetings as opportunities for communication and collaborations among all team members,1,,,High,Underway / Continuous,0,0,1,Extinction of iBoF Salmon populations,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,"Remove / modify tidal barriers in iBoF Salmon estuaries to restore connectivity
 a. Regularly update, improve and share the Bay of Fundy Tidal Barrier Database.",,,1,Medium,New / Continuous,0,0,1,Barriers to fish passage,1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Undertake acoustic smolt tracking and analyze data to better understand current marine habitat use and threats.,,1,,High,New / 2015-2019,0,0,1,"Environmental shifts / changes impacting feeding areas, migration routes and at-sea survival",1
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes (marine),"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Yes,Endangered,Y,2019,N,0,1,Undertake genetic analyses of adult returns to the Big Salmon River and Gaspereau River to assess origin of spawners.,,1,,High,Underway,0,0,1,Minimize the loss of fitness; Minimize loss of genetic variation; Maintaining local adaptations,1
Atlantic Salmon,Salmo salar,Inner St. Lawrence population,Fishes (marine),"Atlantic Ocean, Quebec",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Labrador population,Fishes (marine),"Atlantic Ocean, Quebec, Newfoundland and Labrador",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Lake Ontario population,Fishes (marine),"Atlantic Ocean, Ontario",Extinct,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Northeast Newfoundland population,Fishes (marine),"Atlantic Ocean, Newfoundland and Labrador",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Northwest Newfoundland population,Fishes (marine),"Atlantic Ocean, Newfoundland and Labrador",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Nova Scotia Southern Upland population,Fishes (marine),"Atlantic Ocean, Nova Scotia",Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Nunavik population,Fishes (marine),"Atlantic Ocean, Quebec, Newfoundland and Labrador",Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Outer Bay of Fundy population,Fishes (marine),"Atlantic Ocean, New Brunswick",Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Quebec Eastern North Shore population,Fishes (marine),"Atlantic Ocean, Quebec",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Quebec Western North Shore population,Fishes (marine),"Atlantic Ocean, Quebec",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,South Newfoundland population,Fishes (marine),"Atlantic Ocean, Newfoundland and Labrador",Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Salmon,Salmo salar,Southwest Newfoundland population,Fishes (marine),"Atlantic Ocean, Quebec, Newfoundland and Labrador",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Sturgeon,Acipenser oxyrinchus,Maritimes populations,Fishes (freshwater),"Atlantic Ocean, New Brunswick, Nova Scotia",Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Sturgeon,Acipenser oxyrinchus,St. Lawrence populations,Fishes (freshwater),"Atlantic Ocean, Quebec",Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,Central / Low Arctic population,Mammals (marine),"Nunavut, Arctic Ocean, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,Eastern Arctic population,Mammals (marine),"Nunavut, Arctic Ocean, Manitoba, Quebec, Newfoundland and Labrador",Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,High Arctic population,Mammals (marine),"Nunavut, Arctic Ocean",Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,Northwest Atlantic population,Mammals (marine),"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Non-active,Schedule 1,Extirpated,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,Nova Scotia - Newfoundland - Gulf of St Lawrence population,Mammals (marine),"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Extinct,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Walrus,Odobenus rosmarus  rosmarus,,Mammals (marine),"Prince Edward Island, Nunavut, Arctic Ocean, Manitoba, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,"Identify priority locations for introduction initiatives.
 a) Evaluate potential lakes and riverine locations for introduction efforts.",,1,,High,"Underway /
 2-5 yrs",0,0,1,Range expansion,1
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,"Identify viable mechanisms to support range expansion.
 a) Document supporting methodologies.",,1,,High,"Not started /
 1-3 yr",0,0,1,Absence of anadromy / Range expansion,1
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,"Monitor and assess the status of the existing population of Atlantic Whitefish in Minamkeak, Milipsigate, and Hebb Lakes.",,1,,High,Underway / 2-5 yrs,0,0,1,Extinction of the species,1
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,"Monitor and, once established, assess the status of new populations of Atlantic Whitefish.",,1,,High,Not started / Continuous,0,0,1,Range expansion,1
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,Re-evaluate the applicability of the SARA “residence” concept to Atlantic Whitefish.,,1,,Low,Not Started / 2-5 yrs,0,0,1,Destruction of residence,1
Atlantic Whitefish,Coregonus huntsmani,,Fishes (freshwater),Nova Scotia,Endangered,Yes,Endangered,Y,2018,N,0,1,Undertake the habitat research activities outlined in the Schedule of Studies section of the Recovery Strategy.,,1,,High,"Underway/
 2-5 yrs",0,0,1,Lack of knowledge of habitat characteristics / Destruction of habitat,1
